frame,car,motorcycle,bus,truck
1,2,1,0,0
2,3,0,0,1
3,2,0,0,1
4,2,0,0,1
5,2,0,0,1
6,2,0,0,1
7,2,0,0,0
8,2,0,0,1
9,2,0,0,1
10,2,0,0,1
11,2,0,0,1
12,2,0,0,1
13,2,0,0,1
14,3,0,0,1
15,3,0,0,1
16,2,0,0,1
17,2,0,0,1
18,2,0,0,1
19,2,1,0,0
20,1,0,0,0
21,2,0,0,1
22,1,0,0,0
23,2,0,0,0
24,1,1,0,0
25,3,0,0,0
26,2,1,0,0
27,3,0,0,1
28,3,0,0,1
29,3,0,0,0
30,2,0,0,1
31,3,0,0,1
32,2,1,0,0
33,1,1,0,0
34,3,1,0,0
35,2,0,0,1
36,1,0,0,1
37,1,1,0,0
38,2,1,0,0
39,1,1,0,0
40,2,2,0,0
41,2,1,0,0
42,1,1,0,0
43,1,3,0,0
44,2,1,0,0
45,1,1,0,1
46,1,2,0,0
47,0,1,0,0
48,1,2,0,0
49,0,3,0,0
50,0,2,0,0
51,0,3,0,0
52,0,3,0,0
53,0,2,0,1
54,0,2,0,0
55,0,2,0,0
56,0,3,0,0
57,0,1,0,1
58,0,2,0,0
59,0,2,0,0
60,0,3,0,1
61,0,3,0,0
62,0,3,0,0
63,1,3,0,0
64,0,3,0,1
65,0,3,0,1
66,1,4,0,0
67,0,4,0,0
68,0,4,0,1
69,1,3,0,0
70,0,2,0,0
71,1,2,0,0
72,1,3,0,0
73,1,2,0,0
74,0,2,0,1
75,0,3,0,1
76,0,3,0,1
77,1,3,0,0
78,0,3,0,1
79,0,3,0,0
80,0,4,0,0
81,0,4,0,0
82,0,2,0,0
83,0,4,0,0
84,0,4,0,0
85,0,3,0,0
86,1,3,0,0
87,0,3,0,0
88,1,3,0,1
89,1,3,0,0
90,1,1,0,0
91,1,1,0,0
92,1,2,0,0
93,1,3,0,0
94,1,2,0,0
95,2,1,0,0
96,1,3,0,0
97,1,2,0,0
98,1,3,0,0
99,1,3,0,0
100,2,1,0,1
101,2,2,0,1
102,3,3,0,1
103,2,1,0,0
104,2,2,0,1
105,3,2,0,2
106,2,1,0,2
107,2,1,0,1
108,3,1,0,1
109,3,1,0,0
110,3,2,0,0
111,2,1,0,1
112,4,2,0,0
113,4,0,0,1
114,4,1,0,1
115,2,2,0,1
116,3,3,0,0
117,3,1,0,1
118,3,1,0,0
119,2,1,0,1
120,2,2,0,1
121,2,2,0,1
122,2,2,0,1
123,2,1,0,1
124,2,2,0,1
125,2,2,0,2
126,2,3,0,1
127,2,2,0,1
128,3,1,0,1
129,2,2,0,1
130,3,2,0,1
131,1,2,0,1
132,2,2,0,1
133,2,2,0,1
134,2,3,0,1
135,1,3,0,1
136,1,2,0,1
137,1,3,0,1
138,1,2,0,1
139,1,2,0,1
140,1,4,0,1
141,1,2,0,1
142,2,1,0,2
143,2,1,0,1
144,2,2,0,2
145,2,1,0,2
146,3,1,0,2
147,2,1,0,1
148,2,1,0,2
149,1,1,0,1
150,1,1,0,1
151,1,1,0,1
152,1,1,0,1
153,1,1,0,1
154,1,1,0,1
155,1,1,0,1
156,1,1,0,1
157,1,1,0,1
158,3,1,0,1
159,2,2,0,1
160,1,1,0,1
161,1,1,0,1
162,2,1,0,1
163,4,1,0,1
164,3,1,0,1
165,4,1,0,1
166,4,1,0,1
167,3,1,0,1
168,3,1,0,1
169,3,1,0,1
170,3,1,0,1
171,2,2,0,1
172,2,2,0,1
173,2,1,0,1
174,4,1,0,2
175,2,2,0,1
176,2,2,0,1
177,1,2,0,1
178,2,1,0,1
179,2,1,0,1
180,1,1,0,1
181,1,0,0,1
182,2,0,0,1
183,1,0,0,1
184,3,0,0,1
185,3,0,0,1
186,3,0,0,1
187,2,0,0,1
188,3,0,0,1
189,3,0,0,1
190,3,0,0,1
191,2,0,0,1
192,2,0,0,1
193,4,0,0,1
194,2,0,0,1
195,2,0,0,1
196,3,0,0,2
197,2,0,0,1
198,2,0,0,1
199,2,0,0,1
200,3,0,0,1
201,1,0,0,0
202,2,0,0,1
203,2,0,0,1
204,2,0,0,1
205,2,0,0,1
206,2,0,0,1
207,2,0,0,1
208,2,0,0,1
209,2,0,0,1
210,4,0,0,1
211,3,0,0,1
212,3,0,0,1
213,2,0,0,1
214,2,0,0,1
215,1,0,0,1
216,2,1,0,0
217,2,1,0,1
218,3,1,0,2
219,2,1,0,2
220,1,0,0,2
221,1,0,0,2
222,1,0,0,0
223,1,0,0,1
224,1,0,0,1
225,2,0,0,0
226,1,0,0,0
227,2,0,0,0
228,1,0,0,1
229,1,0,0,0
230,1,0,0,1
231,1,0,0,0
232,1,0,0,0
233,1,0,0,1
234,1,0,0,1
235,1,0,0,0
236,1,0,0,1
237,1,0,0,1
238,1,0,0,1
239,1,0,0,1
240,3,0,0,0
241,3,0,0,1
242,1,0,0,1
243,1,0,0,1
244,2,0,0,1
245,1,0,0,1
246,1,0,0,1
247,2,0,0,1
248,1,0,0,1
249,2,1,0,0
250,1,0,0,1
251,1,0,0,1
252,1,1,0,0
253,1,1,0,0
254,1,1,0,1
255,1,0,0,1
256,1,0,0,1
257,1,0,0,1
258,1,1,0,1
259,1,1,0,1
260,1,1,0,1
261,1,1,0,1
262,1,1,0,1
263,1,1,0,1
264,1,1,0,1
265,2,2,0,1
266,1,2,0,2
267,2,0,0,2
268,3,0,0,1
269,3,1,0,1
270,3,1,0,1
271,2,0,0,1
272,2,1,0,0
273,3,0,0,1
274,2,0,0,1
275,2,0,0,1
276,1,1,0,0
277,1,2,0,0
278,1,0,0,0
279,1,1,0,0
